facility_id,facility_name,city,zip,inspection_date,n_violations,n_critical,n_categories,has_temperature,has_handwashing,has_pests,has_sourcing,has_permit,prior_visits,prior_viol_sum,prior_crit_sum,prior_viol_avg,days_since_last,month,dow,is_summer,tmax,tmin,tavg,prcp,target_critical
FA0001895,VICTORIA BAKERY,CENTRAL ISLIP,11722.0,2024-02-05 15:44:00,19,6,5,1,1,0,0,1,0,0,0,0.0,-1.0,2,0,0,45.0,29.0,37.0,0.0,1
FA0001895,VICTORIA BAKERY,CENTRAL ISLIP,11722.0,2025-03-18 15:52:00,20,6,5,1,1,0,0,1,1,19,6,19.0,407.0,3,1,0,,,,,1
FA0001896,IHOP 4679,BAY SHORE,11706.0,2024-05-15 14:43:00,14,5,5,1,1,0,0,1,0,0,0,0.0,-1.0,5,2,0,62.0,57.0,59.5,1.34,0
FA0001896,IHOP 4679,BAY SHORE,11706.0,2025-04-23 15:04:00,13,5,5,1,1,0,0,1,1,14,5,14.0,343.0,4,2,0,,,,,0
FA0001897,IZUMI SUSHI & HIBACHI 2,HOLBROOK,11741.0,2024-08-30 22:22:00,14,11,5,1,1,0,0,1,0,0,0,0.0,-1.0,8,4,1,75.0,63.0,69.0,0.0,0
FA0001897,IZUMI SUSHI & HIBACHI 2,HOLBROOK,11741.0,2025-07-09 18:42:00,24,11,5,1,1,0,0,1,1,14,11,14.0,312.0,7,2,1,,,,,1
FA0001898,BARNES & NOBLE BOOKSELLERS,BAY SHORE,11706.0,2024-03-08 16:10:00,7,5,3,0,1,0,0,1,0,0,0,0.0,-1.0,3,4,0,54.0,37.0,45.5,0.0,0
FA0001898,BARNES & NOBLE BOOKSELLERS,BAY SHORE,11706.0,2025-03-12 15:57:00,9,6,5,1,1,0,0,1,1,7,5,7.0,368.0,3,2,0,,,,,0
FA0001899,CROWN CHICKEN,BAY SHORE,11706.0,2024-02-14 20:32:00,17,5,4,0,1,0,0,1,0,0,0,0.0,-1.0,2,2,0,35.0,28.0,31.5,0.0,1
FA0001899,CROWN CHICKEN,BAY SHORE,11706.0,2025-02-18 20:16:00,22,9,5,1,1,0,0,1,1,17,5,17.0,369.0,2,1,0,,,,,1
FA0001900,THE LUNCHBOX 538,MELVILLE,11747.0,2024-02-26 19:09:00,19,10,5,1,1,0,0,1,0,0,0,0.0,-1.0,2,0,0,48.0,32.0,40.0,0.0,1
FA0001900,THE LUNCHBOX 538,MELVILLE,11747.0,2025-05-08 15:51:00,11,6,5,1,1,0,0,1,1,19,10,19.0,436.0,5,3,0,,,,,0
FA0001900,NEXT LEVEL CAFE,MELVILLE,11747.0,2025-09-25 04:00:00,13,7,5,1,1,0,0,1,2,30,16,15.0,139.0,9,3,0,,,,,0
FA0001901,APPLEBEE'S,FARMINGDALE,11735.0,2024-01-12 17:45:00,3,1,3,1,0,0,0,0,0,0,0,0.0,-1.0,1,4,0,50.0,30.0,40.0,0.03,0
FA0001901,APPLEBEE'S,FARMINGDALE,11735.0,2025-02-19 21:03:00,2,1,2,0,1,0,0,0,1,3,1,3.0,404.0,2,2,0,,,,,0
FA0001902,FOUR SEASON KITCHEN,WEST ISLIP,11795.0,2024-10-21 19:06:00,11,6,5,1,1,0,0,1,0,0,0,0.0,-1.0,10,0,0,77.0,41.0,59.0,0.0,0
FA0001903,TELLERS,ISLIP,11751.0,2024-05-28 18:44:00,8,6,4,1,1,0,0,1,0,0,0,0.0,-1.0,5,1,0,80.0,61.0,70.5,0.0,0
FA0001903,TELLERS,ISLIP,11751.0,2025-06-03 19:33:00,13,9,4,1,1,0,0,1,1,8,6,8.0,371.0,6,1,1,,,,,0
FA0001904,WENONAH ELEMENTARY SCHOOL,LAKE GROVE,11755.0,2024-01-31 15:58:00,4,4,3,0,1,0,0,1,0,0,0,0.0,-1.0,1,2,0,38.0,32.0,35.0,0.0,0
FA0001904,WENONAH ELEMENTARY SCHOOL,LAKE GROVE,11755.0,2025-03-03 14:49:00,6,2,3,1,1,0,0,0,1,4,4,4.0,396.0,3,0,0,,,,,0
FA0001905,SAYVILLE HIGH SCHOOL,WEST SAYVILLE,11796.0,2024-05-22 13:56:00,8,5,4,0,1,0,0,1,0,0,0,0.0,-1.0,5,2,0,76.0,60.0,68.0,0.0,0
FA0001905,SAYVILLE HIGH SCHOOL,WEST SAYVILLE,11796.0,2025-03-18 13:08:00,5,4,3,1,1,0,0,1,1,8,5,8.0,299.0,3,1,0,,,,,0
FA0001905,SAYVILLE HIGH SCHOOL,WEST SAYVILLE,11796.0,2025-03-25 13:10:00,4,3,2,1,1,0,0,0,2,13,9,6.5,7.0,3,1,0,,,,,0
